Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-08-09,51,9306,4284284,469,450,469
2015-08-10,64,8260,3946984,488,470,479
2015-08-11,23,2244,1040914,470,452,455
2015-08-12,41,4305,1912728,450,436,445
2015-08-13,57,8463,3815927,459,438,444
2015-08-16,139,15570,7003978,456,441,441
2015-08-17,41,14033,6783465,485,449,485
2015-08-18,71,17564,8882141,518,494,518
2015-08-19,27,4816,2481868,528,510,528
2015-08-20,18,5070,2747398,548,525,525
2015-08-23,11,8354,4266993,516,505,506
2015-08-24,13,2386,1208981,509,505,506
2015-08-25,17,3076,1540334,515,496,515
2015-08-26,3,1300,656700,506,505,505
2015-08-27,7,1382,691410,505,500,500
2015-08-31,7,3126,1560900,503,496,500
2015-09-01,8,6425,3195841,500,493,495
2015-09-02,2,1000,486000,486,486,486
2015-09-03,4,760,360690,478,465,465
2015-09-06,8,1710,823782,485,474,480
2015-09-07,11,2252,1091608,497,475,497
2015-09-08,5,651,322088,496,488,488
2015-09-09,1,41,19680,480,480,480
2015-09-10,10,7097,3424204,489,472,479
2015-09-13,9,9190,4422736,500,480,500
2015-09-14,19,4489,2263296,511,492,500
2015-09-15,8,1356,672126,505,486,495
2015-09-16,5,1186,578936,490,486,487
2015-09-17,19,5292,2541780,488,475,480
2015-09-22,16,9991,4642437,471,456,456
2015-09-23,20,9252,4268830,474,460,465
2015-09-24,5,956,439860,461,456,460
2015-09-28,9,1581,713289,454,446,450
2015-09-29,3,2289,1030140,459,450,450
2015-09-30,20,4851,2200320,468,442,450
2015-10-01,14,5128,2310969,460,444,459
2015-10-04,7,2200,991200,455,443,451
2015-10-05,15,2871,1282625,460,442,445
2015-10-06,20,5822,2551250,445,435,440
2015-10-07,5,511,226240,450,440,450
2015-10-08,44,15581,7496975,495,443,495
2015-10-11,272,93601,49644307,544,504,530
2015-10-14,37,9865,4967086,540,493,494
2015-10-15,27,6688,3270296,499,476,499
2015-10-18,15,8306,4064550,495,487,495
2015-10-19,11,2033,998600,500,489,500
2015-10-25,13,2481,1194861,490,480,481
2015-10-27,10,3737,1751510,472,465,472
2015-10-28,16,2955,1368611,472,455,466
2015-10-29,9,1970,922200,475,466,470
2015-11-01,15,4509,2063283,469,450,456
2015-11-02,15,3088,1434022,470,450,461
2015-11-03,3,81,36915,457,455,457
2015-11-04,6,1462,681376,470,449,466
2015-11-05,6,878,404480,463,460,460
2015-11-08,7,607,276552,462,451,462
2015-11-09,16,4949,2351788,483,469,483
2015-11-10,12,8443,4023172,485,474,477
2015-11-15,6,1170,553870,475,470,475
2015-11-16,2,250,116950,471,467,471
2015-11-18,5,1230,576640,475,467,470
2015-11-19,9,1940,912850,475,460,465
2015-11-22,17,2625,1190408,460,451,452
2015-11-23,13,4235,1907885,452,449,452
2015-11-24,14,1170,531661,461,451,455
2015-11-25,28,6331,2852031,461,448,450
2015-11-26,21,2656,1172867,450,435,447
2015-11-29,37,9273,3936822,442,420,420
2015-11-30,24,4935,2134577,450,424,431
2015-12-01,21,5943,2658366,454,439,454
2015-12-02,13,3272,1468984,451,445,451
2015-12-03,9,3472,1572584,459,450,450
2015-12-06,13,2902,1335158,468,459,465
2015-12-07,12,860,391040,456,454,455
2015-12-08,13,2091,946978,455,447,451
2015-12-09,10,1612,743343,469,460,469
2015-12-10,9,934,429220,469,450,465
2015-12-13,10,1652,755440,465,456,456
2015-12-14,12,2818,1270993,453,450,450
